المقابل باللغة الأنجلزية	المقابل باللغة الفرنسية	المصطلح
regular alternation	alternance réguliére	تعاقب مطرد
regular correspence	correspondance réguliére	-توافق منتظم تناسب مطرد
regularity	régularité	اطراد
regular sound change	changement phonétique régulier	تحول صوتي مطرد
regular verb	verbe régulier	فعل قياسي  (مطرد التصرف)
related language	langue apparentée	لغة قريبة
relational word	conjonction	أداة ربط
relative adverb	adverbe relatif	-اسم موصول قريني -ظرف صلة
relative clause	subordonnée relative	صلة الموصول
relative negation	négation relative	نفي مقيد
relative pitch	pitch relatif	طبقة صوت نسبية
relative pronoun	pronom relatif	اسم موصول
relativization	relativisation	الربط بالموصول
relator-axis-clause	proposition subordonnée (en tagmémique)	جملة محمولة (في التاكميمية)
relat axis phrase	syntagme prépositionnel  (en tagmémique)	تركيب إضافي
release	plosion	-إطلاق -تحريك
relevance	pertinence	الوظيفية التمييزية
relevant	pertinent	مميز (في مقابل العرضي أو العارض)
relic area	aire(région) conservatrice	منطقة لغوية محافظة
relic form	forme relique	صيغة أثرية
remote area	aire(région) isolée	-منطقة منعزلة -منطقة بعيدة
repertory	répertoire	ذخيرة
repetitive compound	composé à redoublement	مركب تكراري
rephonologization	rephonoligisation	إعادة التقابل الحرفي
replacement	remplacement	استبدال
replacive	substitutif	استبدالي
replacive morph	morphe-substitut ; morphe remplaçant	-دالة مثالية -صورة دالة
replica	reproduction	صورة منقولة
reported question	interrogation indirecte	استفهام تعليقي
reported speech	discours indirect	أسلوب غير محكي
representation	représentation	المقابل في اللفظ (أو الكتابة)
repesentation	représentation	وظيفة تمثيلية
representativity	représentativité (d’un corpus)	نموذجية (المدونة)
reshaping	reformulation	إعادة الصياغة
residual	phonéme résiduel	وحدة صوتية متبقية
residue (resisual) forms	formes résiduelles	صيغ متبقية
resonance	résonance	رنين
resonance chamber	1-chambre de résonance 2-vide résonateur	1-تجويف رنين 2-فراغ رنان
resonance curve	courbe de résonance	منحنى الرنين
resonant	résonateur	رنان
response	réponse	استجابة
restricted code	parler réduit (simplifié) ; langue réduite (simplifiée)	لغة مبسطة
restricted language	parler (langue) spécialisé	لغة التخصص
restricted stress	accent limité(régis)	-نبر مقيد -تطويح مقيد
restriction	restriction (de sens)	تخصيص (المعنى)
restrictive modifier	modificateur restrictif	-معدلة مقيدة -مخصص تقييدي
retained object	objet du passif	مفعول المبني للمجهول
retracted	vélarisé(son)	-مفخم (عند بعض اللغويين) -صفاقي (نسبة إلى صفاق الشجر)
retroflex	rétroflexe	تقعيسي(مخرج)
retroflexion	rétroflexion	تقعيس اللسان
retrogressive	rétrogressif ;rétrograde	-تراجعي -توقعي
retrogressive assimilation	assimilation rétrograde	تقريب توقعي
retrogressive dissimilation	dissimilation rétrograde	تبعيد توقعي
reverse spelling	orthographe rétrograde ;orthographe inverse	تهجئة معكوسة
reversible	réversible	يعكس
revival form	archaisme	مهجور
rewrite rule	régle de réécriture	قاعدة إعادة الكتابة (فب النحو التحويلي)
rheme	1-rhéme 2-commentaire 3-propos 4-prédicat	-المسند (في النحو) -المحمول(في النحو المتأثر بالمنطق)
rhetoric	rhétorique	-خطابة -علوم البلاغة
thotacism	rhotacisme	رأرأة
rhotacization	rhotacisation	عملية تحويل الصوت إلى راء
rhyme	rime	قافية
rhyme word	mot-rime	كلمة مقفاة
rhythm	rythme	إيقاع
rhythmic group	groupe rythmique	مجموعة إيقاعية
rising dihthong	diphtongue ascendante ; diphtongue montante	مزدوج صاعد
rising falling	montant__descendant (intonation)	-حادر/صاعد -متنازل/متصاعد
rising juncture	joncture (jointure) à intonation montante	وصل صاعد (علامة التنغيم الصاعد في الأواخر)
rolled consonant	consonne roulée	صامت مكرر
romance languages	langues romanes	اللغات الرومنية
romance linguistics	linguistique romane	اللسانيات الرومنية
root	racine	-جذر -أصل
root(tongue)	racine (langue)	العكدة(أقصى اللسان)
root-creation	création onomatoéique de racine	إنشاء على الحكاية الصوتية
root inflected languages	langue à racine fléchies	لغة متصرفة الجذور
root inflection	flexion des racines	تصريف الجذور
root isolating language	langue isolante	لغة عازلة
rounded vowel	voyelle arrondie	مصوت مضموم
rounding	arrondissement	-تدوين الشفتين -ضم الشفتين
rule of grammar	régle de grammaire	قاعدة نحوية
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
sandhi	sandhi	ساندهي (ظواهر تحدث بسبب الاتصال)
sandhi aleternats	alternants sandhi	بدائل نحتية (متعاقبات ساندهية)
sandhi form	forme sandhi	صيغة منحوتة (صيغة حاصلة بالساندهي)
saying	proverbe	مثل
scale and category  grammair	grammaire des niveaux et des catégories ;grammaire systématique	نظرية المستويات والأجناس (مدرسة هاليداي النحوية)
schema	schéma	رسم
scholasticism	scolastique	المدرسانية
school grammar	grammaire scolaire	قواعد النحو المدرسية
schwa ;shwa	schwa	شبهة  (حركة خفيفة محايدة)
science of language	science du langage	علم اللسان
scientific grammar	grammaire scientifique	نحو علمي
scriptural	scriptural	كتابي
secondary articulation	articulation secondaire	تقطيع ثانوي
secondary derivative	dérivatif secondaire ;racine augmentée d’un affixe	-مشتق ثانوي -الجذر المزيد
secondary features	traits secondaires	صفات ثانوية
secondary language	1-deuxiéme langue 2-langue complémentaire	-لغة ثانوية -لغة الثقافة
secondary phoneme	1-phonéme secondaire 2-phonéme prosodique	وحدة نبرية
secondary unit	unité secondaire ;unité dérivée	-وحدة ثانوية  -وحدة مشتقة
secondary word	mot composé (d’un thème plus un affixe	كلمة مركبة
second language	seconde langue	لغة ثانية
second order métalanguage	seconde langue	اصطلاح
second order language	métalangage	-وضع ثان  (في مقابل أصل اللغة والوضع  الأول)
second past perfect	passé antérieur	الماضي المنقطع  السابق
second perfect	plus que parfait	الماضي المنقطع الثاني
second person	deuxième personne	مخاطب
second possessive	pronom possessif	-ضمير الملك الثاني (في بعض اللغات) -ضمير الملك المنفصل
segment(of speech)	analyse segmentale	-جزء -قطعة (من الكلام)
segmental phonemes	analyse segmentale	تحليل تقطيعي
segmental phonemics	phonématique segmentale	-علم الحروف المقطعة -صوتيات وظيفية تقطيعية
segmental phonology	phonologie segmentale	علم الحروف المقطعة
segmentation	segmentation	تقطيع (تجزئة الكلام)
segmentator	segmentateur ;segmenteur	مقطع
selection restriction	restriction de selection	تقييد الاختيار
self-regulation	auto-régulation	انضباط ذاتي
semanteme	sémantéme	دال الماهية 1-معنى إفرادي 2-معنى المفردة 3-دالة إفرادية (عند قدماء العلماء الغربيين)
semantic amalgam	amalgame sémantique	مزج معنوي
semantic analyse	analyse sémantique	تحليل معنوي
semantic change	changement sémantique	تحول معنوي
semantic component	composant (e) semantic	عنصر معنوي
semantic contagion	contagion sémantique	عدوى معنوية
semantic differentielle	analyse différentielle	تحليل تفاضلي  للمعاني
semantic distinguisher	marqueur sémantique/distinctif	مميز معنوي
semantic extension	extension sémantique	اتساع المعنى
semantic feature	trait semantic	صفة مميزة للمعنى
semantic filed	champ sémantique	-مجال معنوي -حقل دلالي
semantic filed theory	théorie des champs sémantique	-نظرية الحقول الدلالية -نظرية المجالات المعنوية
semantic group	groupe sémantique	مجموعة معنوية
semantic indicator	indicateur sémantique	مميز معنوي
semantic information	information sémantique	مفاد
semantic marker	marqueur sémantique	مميز معنوي
semantic pair	paire sémantique	زوج معنوي
semantic potentialities	potentialitités sémantique	احتمالات معنوية
semantic preperty	propriété (caractéristique) sémantique	عنصر معنوي
semantic range	portée sémantique	مجموع السياقات الممكنة (مجموع المعاني)
semantic rejuvination	renouvellement sémantique ;régénérescence	إحياء معنى
semantics	sémantique	علم المعاني
semantic shift	mutation (changement ) sémantique	تحول معنوي
semantic structure	structure sémantique	بنية معنوية
semantic triangle	triangle sémantique	المثلث الدلالي للمعنى
semantic value	valeur sémantique	المدلول المعنوي
semasiology	sémasiologie	علم المعاني الللفظي (في مقابل دراسة الأدلة انطلاقا من المعاني)
seme	séme	-وحدة معنوية -معنى مفرد
seme	séméme	-وحدة دلالية -معنى مركب
sememic stratum niveau	niveau sémique/sémémique	-مستوى دلالي -مستوى افراد المعاني
semi-auxilary	semi-auxiliaires	النواسخ
semi-consonant	semi-consonne	-شبه صامت -حرف لين
semi-contoid	semi-contoide	شبه صامت
semiology ;semiotics	sémiologie ;sémiotique	1-علم الأدلة 2-علم السمياء (عند سوسور) 3-علم الدلالة اللفظية (عند من يميز الدلالتين دلالة اللفظ ودلالة المعنى)
semiotic system	système sémiotique	-نظام دلائلي -نظام رمزي
semi-syntactic compound	composé semi  syntactique	-مركب شبه نظمي -شبه مركب
semi-vowel	semi-voyelle	-شبه مصوت -حرف لين
sense	sens	معنى
sense relations	relations sémantiques	علاقات المعنى
sensory aphasia	aphasie sensorielle	حبسة حسية
sentence	phrase	-جملة -كلام
sentence adverbial	adverbe de phrase	-تعبيرة ظرفية  -مخصص للدواخل على  الجملة
sentence compound	phrase complexe coordonée	جملة مركبة
sentence connector	connecteur de phrases	رابطة الجمل
sentence fragment	fragment de phrase	جزء جملة
sentence modifier	adverbe modificateur de phrase	مخصص للدواخل على الجملة
sentence parts	catégories syntactiques	-أجزاء الجملة -مقومات الجملة
sentence pattern	-modèle de la phrase -pattern de la phrase	-نمط الجملة -مثال جملة
sentence rythm	rythme de la phrase	إيقاع الجملة
sentence stress	accent de la phrase ; accent sepitactique	-نبر الجملة -تطويح كلامي
sentence word	mot-phrase	-مفردة مفيدة -جملة مفردة
separable prefix	préfixe séparable	سابقة قابلة  للفصل
separable suffix	suffixe séparable	لاحقة قابلة  للفصل
sequence	séquence	-تسلسل -مساق
sequence of tenses	concordance de temps	مطابقة صيغ الأفعال (في الجملة المركبة)
sequence sebtence	phrase-séquence	جملة السياق
sequencing	classement de séquences	-تنظيم تسلسلي -تدريج
series	séries	-سلسلة -ترتيب(بالنسبة للمخارج)
sharp	diésé	-مستقل المخرج (من حيث النطق) -مخفوض (من حيث التحليل الفزيائي)
shifter	shifter	-متحولة المبهم  (في النحو العربي) -متنقلة (في مقابل "اللازم")
shifting stress	accent mobile	-نبر متنقل -تطويح متنقل
shift of accent	mutation de l’accent	تحول النبر
shift of meaning	changement de sens ;mutation sémantique	تحول معنوي
shift signs	marques secondaires (voyelle)	علامات ثانوية  (للمصوتات)
shortening	abrégement	-قصر -اختلاس (فيما يخص الحركات)
sibilant	sifflant	-صفيري -أصوات الصفير
sign	signe	دليل
signal	signal	إشارة
signifiant ;significans ; significant ;signifier	signifiant	دال
significance ;signification	significance ;	-الدلالة -المعنى المدلول
significant segment	segement significant	كلمة  (في النحو العربي ،المذهب الخليلي)
significatum ;signifié ;signified	signifié	مدلول
sign language	langage gestuel	لغة الإيماء
simile	métaphore	استعارة
simple past	passé simple	1-الماضي المجرد (في الأنجلزية) 2-الماضي البسيط(في الفرنسية)
simple perfect	parfait	-الماضي المركب الأول -الماضي المركب المبهم
simple predicat	prédicat simple	مسند بسيط
simple sentence	phrase simple	جملة بسيطة
simple stem	mot simple ;mot monomorphémique ; morphéme-racine	دالة جذرية كلمة ذات (أصل منفرد)
simple stop	occlusive simple	-حرف شديد بسيط -حرف حبسي بسيط
simple tense	temps simple	صيغة بسيطة للفعل
simple transformation	transformation simple	تحويل بسيط
simple vowel	voyelle simple	مصوت بسيط
simple-wave-form	onde sonore simple	موجة صوتية بسيطة
simulation	simulation	التمثيل
simultaneity axis	axe des simultanéités	محور المتزامنات
simultaneous interpreting	traduction simultanée	ترجمة فورية
single-bar juncture	jonction à barre unique	علامة التنغيم المستوى
sing-song theory	téorie du chantement	نظرية الترنم  (في أصل اللغة)
singular	singulier	مفردة
sigularity	singularité	صفة الافراد
singular transformation	transformation singuliére	تحويل فردي
singulative	morphéme du singulier	علامة المفرد
sinusoidal wave form	onde sonore sinusoïdale	موجة صوتية  جيبية
sister language	langue-soeur	لغة شقيقة
situation	situation ;contexte siruationnel	الحال  (أو حال الخطاب أو حال الحديث)
situational meaning	sens situationnel	-دلالة الحال -المعنى الحالي
slack vowel	voyelle relachée ;voyelle lâche	مصوت رخو
slang	argot	-لهجة سوقية -لهجة مهنية
slender consonant	consonnz d’avant	صامت من مقدم الفم
slender vowel	voyelle d’avant	مصوت من مقدم الفم
slit fricative	fricative non-stridente	-احتكاكي غير صفيري -رخو انسلالي
slot	contexte d’occurence	-حيز وظيفي (في الجملة في المدرسة التاكميمية)
sociolinguistics	sociolinguistique	اللسانيات الاجتماعية
soft consonant (palatalized)	consonne mouillée	صامت مشجر
softening	mouillure	تشجير
soft palate	palais mou	-صفاق الشجر -سقف الحلق
solecism	solécisme	لحن (خروج عن العرف اللغوي) خطأ نحوي في الفرنسية واللغات الرومانية)
solid compound	composé primaire ;composé de base	مركب أصلي
soliloquy	solilogue	خطاب النفس
sonagraph	sonagraphe	مطياف
sonant	sonant	حرف أذلق
sonagram	sonagramme	طيفية... (رسم الصوت الطيفي)
sonometer	sonométre	صائت
sonority	sonorité	جهارة
sonority feature	trait de sonorité	صفة الجهر
sonorization	sonorisation	جهر (إجهار)
sotto voce	mediane neutre	من وسط الفهم
sound	son	صوت
sound change	changement phonétique	تحول صوتي
sound change by allophones	changement phonilogique	تحول صوتي
sound change by phonemes	changement phonologique	تحول الحروف
sound echoism	onomatopée	حكاية صوت
sound symbolism	symbolisme phonétique	رمزية صوتية
sound system	systéme phonologique	نظام صوتي
sound wave	onde sonore	موجة صوتية
source features	traits primaires ;trait de base	صفات أساسية
source language	langue-source	لغة الأصل
source sentence	phrase-source	جملة الأصل
speaking ;speech act	acte de la parole	كلام (كمصدر)
specialization of meaning	sens spécialisé ;sens restreint	تخصيص المعنى
specialized meaning	sens spécialisé ;sens restreint	معنى خاص
special language	langue spécialisée	-لغة خاصة -لغة تخصص
spectral analysis	analyse spectrale	تحليل طيفي  (في الأصوات)
spectrogram	spectrogramme	صورة طيفية
spectrpgraph	spectrographe	مطياف
spectrum	spectre	طيف صوتي (موجات الصوت)
speech	parole	كلام
speech community	caummunautéc linguistique	مجتمع كلامي (الناطقون بلغة ما)
speech defect/disorder	troubles de la parole	عيوب الكلام (أمراض الكلام)
speech impediment	empêchement de la langue	عوائق الكلام
speech improvement	amélioration de la diction	تحسين طريقة النطق (تجويد الأداء)
speech lapse	lapsus linguae	زلة لسان
speech organs	organes de la parole	أعضاء النطق
speech pathology	pathologie de la parole	علم أمراض الكلام
speech perception	-perception de la parole -discernement phonétique	إدراك الكلام
speech production	production de la parole	إخراج كلام
speech segment	segment de la parole	مقتطع كلامي
speech sound	son du langage	-صوت الكلام -صوت لغوي
speech synthesis	synthése de la parole	تركيب اصطناعي للكلام
speech synthethetizer	synthétiseur	-مركب -مؤلف
speech therapy	thérapeutique de la parole	علاج الكلام
spelling	orthographe	-تهجئة -قواعد الاملاء
spelling pronunciation	éppellation phonétique	نص هجائي
spirant	spirant (consonne)	حرف رخو
split infinitive	infinitif séparé de sa préposition régissante	مصدر فعل عار
spoken chain	chaine parlée	مدرج الكلام
spoken language	langage parlé ;langue parlée	لغة التخاطب
spontaneous sound	changement phonétique spontané	تحول صوتي غير مسبب
spoonerism	contrepéterie	تصحيف بالقلب
sporadic alternation	alternance sporadique	تعاقب غير مطرد
sporadic change	changement sporadique	تحول غير مطرد
spread vowel	voyelle étirée	مصوت مكسور (بحر الشفتين)
stammer	bégaiement	-تلعثم -تمتمة
standard dialect	dialecte standard	لهجة نموذجية
standardization	satandardisation	توحيد لغوي
satandard dialect	dialecte standard	لغة نموذجية
starred form	forme e-grammaticale	صيغة غير سليمة نحويا
state of language	état de la langue	حالة اللغة
static consonant	consonne constante	صامت ثابت
static grammar	grammaire statique	النحو الآني
static linguistics	linguistique statique ;linguistique sunchronique	اللسانيات الآنية
statistical linguistics	linguistique statistique ;linguistique quantitative	اللسانيات الرياضية
status	statut (social)	وضع اجتماعي
status label	indication d’usage	علامة الاستعمال
status verbe	verbe non-progressif ;verbe à l’accompli	فعل منقطع
stem	__théme d’un mot __radical d’un mot	مبني الكلمة (كلمة مجردة من لواحق التصريف أو الإعراب)
stem compound	théme composé	مبني مركب
stimulus	stimulus	-مثير -منبه
stochastic	stochastique	احتمالي
stop	stop	حرف شديد (انفجاري في النظرة الأروبية)
stratificational grammar	grammaire stratificationnelle	نحو طبقي (لعناصر اللغة)
stratification of language	stratification de la langue	تصنيف طبقي للغة
startum	strate	طبقة
stress	accent ;stress	-نبر -تطويح
stress accent	accent d’insistance	تطويح إلحاحي
stress functions	fonctions accentuelles	وظائف النبر
stress group	groupe accentuel ;unité accentuelle	مجموعة منبورة
stress mark	marque de l’accent	علامة النبر
stress phonemes	phonèmes accentuels ;phonème prosodiques	وحدات النبر
strident	strident	صار (في مقابل رخيم)
string	suite ;séquence	-مساق -مدرج قول
string analysis	string analysis	تحليل تسلسلي
stroboscope	stroboscope	مرداد
strong negation	négation forte	-جحود -إنكار
strong verb	verbe fort ; verbe à ablaut	فعل متعاقب (في الجرمانية)
structural allophonic change	changement allophonique structurel	تحول بنوي للمخارج
structural description	description de structure ; description structurelle	وصف بنوي
structural gap	case vide	-فجوة بنوية -خانة فارغة
structuralism	structuralisme	بنوية
structuralist(ic) linguistics	linguistique structurale	اللسانيات البنوية
structural marker	indicateur de structure ;indicateur structurel	-دليل البناء -علامة البنية
structural meaning	sens structurel	المعنى البنوي
structural semantics	sémantique structurale	علم المعنى البنوي
structural (structure)  word	mot fonctionnel	أداة وظيفية
structure	structure	-بناء -بنية
structure drills	exercices structuraux	تمارين بنوية
structured string	suite(séquence) structurée	ذات بنية
strump word	mot abrégé	كملة مختزلة
stutter(to)	bégayer	-فأفأ -تمتم
style	style	أسلوب
stylistics	stylistique	علم الأسلوب
stylistuc variants	variantes stylistiques/expressives	وجوه التعبير
stylostatistics	stylométrie ;stylostatisque	دراسة الأسلوب الاحصائي
subcategorization	sous-catégorie	-تصنيف تفريعي -تفصيل
sub-category	sous-catégorie	فصل
sub-clause	proposition subordonnée	جملة محمولة
subjacent	sous-jacent	مقدر
subject	sujet	1-مسند إليه (في النحو) 2-الموضوع (في المنطق والنحو المتأثر بالمنطق) 3-الفاعل أو المبتدأ في العربية
subject complement	prédicat nominatif ;prédicat nominal	خبر اسمي
subjective case	cas sujet ;cas nominatif	حالة المسند إليه
subjective pronoun	pronom sujet	ضمير فاعل
subjunction mood	mode subjonctif	صيغة الغاية
sub-minimal pairs	semi-paires minimales	شبه أزواج
subordinate clause	proposition subordonnée	جملة محمولة
subordinate word	mot modificateur	مخصص مفيد
subordinating conjunction subordinator	conjonction de subordination	-رابط حمل -أداة ربط اتباعي
subordination	subordination	حمل جملة
subordinative construction	construction subordonnée	تركيب حملي
subphonemic	allophone	-بدل صوتي -مخرج
subphonemic variant (allophone)	variante allophonique	-بدل صوتي متغير -مخرج متغير
suberelationship	sous-relation	علاقة فرعية (غير مباشرة بين اللغات)
substance	substance	-مادة (مضمون البنية  مثلا في مقابل الصورة) -جوهر (الذات)
sub-standard	non-standard ;inférieur	-دون النموذجي -دون الفصيح
substantival adjunct	adjoint au substantif	مخصص الاسم
substantive	substantif	اسم
substantive universals	universaux de substance	كليات جوهرية
substitute	substitut	بديل(كلمة)
substitute language	langue superalocale ;langue véhicuaire	لغة بديلة (غير وطنية)
substitution class	classe substitutive	-صنف بديل -جنس بديل
substitution drill	exercice de substitution	تمرين التبديل
substitution frame	cadre de substitution	قياس
substrat ;substratum	substrat	لغة المنشأ (اللغة الأولى المؤثرة)
successiveness axis	axe des successivités	محور المتعاقبات
suction stop	occlusive à succion	-انفجاري امتصاصي -انقاضي
suffix	suffixe	لاحقة
suffixing language	langue suffixante	لغة اللواحق
superadded	postiche	مستعار
superficial structure	structure de surface	بنية سطحية  -ظاهر اللفظ
superfix	courbe accentuelle ;trait prosodique	مميز تطويحي
superior comparaison	comparaison de supériorité	اسم التفضيل المعرف
superlative degree	degré de superlatif	درجة التفضيل
superordinate	superordonné	الجنس القريب  (تحته الأنواع والأفراد)
superstratum	superstrat	اللغة الطارئة
suppletion	suppléance	تعويض
suppletive	supplétif	-تعويضي (في جدول التصريف) -عوض
support vowel	voyelle de support ; voyelle épenthétique	مصوت مزيد
superadental	superadental	ما فوق الثنايا
supraglottal cavity	cavité supraglottale	التجاويف العليا
supraglottal cavity	cavité supraglottale	تسريب في التجاويف العليا
supraglottal friction	friction supraglottale	صفة تطويحية
suprasegmental feature	trait suprasegmental	-هجاء فوق الحرف -علامة تطويحية
uprasegmental phoneme	phonème uprasegmental	-وحدة صوتية فوق الحرف وحدة تطويحية
surd	sourd ;non voisé	مهموس
surface grammar	grammaire superficielle	نحو سطحي (يتناول ظاهر اللفظ)
sustainjoned juncture	joncture soutenue/maintenue	وصل مستو
svarabhakti	svarabhakti	صويت
switching	changement de code langue	تحويل الوضع
syllabary	syllabaire	نظام الكتابة المقطعية
syllabic	1-syllabique 2-syllabéme	مقطعي
syllabication	syllabation	تحليل مقطعي
syllabic consonant	consonne syllabique	صامت مقطعي
syllabic contoid	contoid syllanique	صامت مقطعي
syllabic dissimilation	dissimilation syllabique	تبعيد مقطعي
syllabic pattern	système (pattern) syllabique	نمط مقطعي
syllabic peak	sommet syllabique	قمة مقطعية
syllabic (syllable) sign	signe (marque) syllabique	علامة مقطعية
syllabic (syllable) writing	écriture syllabique	كتابة مقطعية
syllable	syllabe	مقطع صوتي
syllable nucleus	noyau de syllabe	نواة المقطع
syllabogram	marque syllabique	علامة مقطعية
syllabography	écriture syllabique	كتابة مقطعية
symbol	symbole	رمز
symbolic sign	signe symbolique	دليل رمزي
symbolism	symbolism	الرمزية
symmetrical patterning	systéme (pattern) symétrique	تناظر المثل
symmetry	symétrie	تناظر
synaesthesia	symbolisme phonique	رمزية صوتية
synaloepha	synaléphe	إدغام حذفي
synapsy	synapsie	التعدد (تعدد الدوال في التسمية الواحدة)
synchronic	synchronique	-آني -قراري
synchronic change	changement synchronique	تحول زمني
synchronic grammar	grammaire synchronique	النحو الآني
synchronic linguistics	linguistique synchronique	اللسانيات الآنية
synchronic phonemics	étude phonématique synchronique	دراسة آنية للنظام الصوتي
synchrony	synchronie	الوضع الآني
syncope	suncope	-سقوط -زوال
syncresis ;syncretism	syncrétisme	انصهار
syncretic form	forme syncrétique	صيغة منصهرة
syndesis	syndése	-ربط العبارات  -وصل (في مقابل الفصل)
syndeton	construction syndétique	تركيب ربطي
synecodche	synécdoque	مجاز مرسل
syneresis	synérése	إدغام مدي
synesis	syllepse	لمح الصفة
synonym	synonyme	-مرادف -مترادف
synonymic attraction	attraction synonymique	جاذبية الترادف
synonymy	synonymie	ترادف
syntactic	syntaxique ;syntactique	-نظمي(خاص بنظم الكلام) -تركيبي(في مقابل الإفرادي)
syntactic category	catégorie syntaxique/syntactique	-فصيلة نظمية -جنس تركيبي
syntactic change	changement syntaxique/syntactique	تحول تركيبي
syntactic component	composant syntaxique	عنصر تركيبي
syntactic compound	mot composé syntaxique	مركب نظمي
syntactic construction	construction syntaxique	بناء تركيبي
syntactic doublets	doublets syntaxique	رسيلة تركيبية (بدل تركيبي سياقي)
syntactic group	suite(groupe) syntaxique	مجموعة تركيبية
syntactic order	ordre syntaxique	ترتيب الكلام
syntactic pattern	pattern syntaxique	مثال تركيبي
syntactic phonology	phonologie syntaxique	الصوتيات الوظيفية التركيبية
syntactics	1-syntaxe  2-étude des relations entre symboles (sémiotique)	دراسة الانتظام  التركيبي
syntagm	syntagme	-بناء -تركيب
syntagma	syntagme complexe/ élargi	تركيب مزيد
syntagmatic sound change	changement phonétique syntagmatique	تحول صوتي تركيبي
syntagmeme	syntagméme	وحدة بنائية
syntax	syntaxe	1-مستوى التراكيب 2-دراسة التراكيب
synthesis	synthése	تركيب (عكس تحليل)
synthetic compound	mot composé synthétique	مركب مزجي (محتو على صيغة مقيدة أو أكثر)
synthetic	__index synthétique __indice de synthése	دليل التركيب
synthetic language	langue synthétique	لغة تركيبية
system	système	نظام
systematic phonemic representation	représentation phonémique  systématique	تمثيل حرفي منظم
systematic phonetic representation	représentation phonétique systématique	تمثيل صوتي منظم
systematic phonological representation	représentation phonologique systématique	تمثيل صوتي وظيفي منظم
systemic grammar	grammaire systématique	نحو نظامي (في نظرية هاليداي)
system-structure  grammar	grammaire  systémique	نحو نظامي
		
		
		
		
		
		
		
		
		
		
		
taboo	tabou	محظور
tach ;short hand	tachygraphie	استعمال الكتابة المختصرة
tactics	tactique	دراسة الانتظام الصوتي (أو الصرفي أو التركيبي)
tagma	tagma	تاكمة(عضو تاكميم)
tagmeme	tagméme	تاكميم(علاقة بين الوظيفية النحوية وما يشغلها)
tagmemic analysis	analyse tagmémique	تحليل تاكممي
tagmemics	théorie tagmémique ;tagmémique	التاكميمية
tag question	interrogation de confirmation	الاستثبات (في اللغة الانجلزية)
tamber(tambre)	timbre	جرس
tape recorder	magnétophone	مسجلة
tapped (flapped) R	R battu	راء ذات قرعة (غير مكررة)
traget language	langue-cible	لغة هدف اللغة المنقول إليها)
ta-ta theory	théorie ta-ta  (origine de langage)	نظرية تاتائية (تقليد الحركات الجسمانية)
tautologie	tautologie ;pléonsame	1-حشو 2-تحصيل حاصل (في التعبير)
taxeme	taxéme	وحدة تركيبية
taxonomic linguistics	linguistique taxonomique	اللسانيات التصنيفية
taxonomic phonemics	phonémique taxonomique	دراسة تصنيف الوحدات الصوتية
technical translation	traduction automatique	ترجمة آلية
teeth ridge	alvéoles	نطع
telescoped word	mot téléscopé	كلمة ممزوجة
tempo	tempo	سرعة النطق
temporal clause	subordonée de temps	ظرفية زمانية (جملة محمولة)
tense	temps	زمن
tense lax	tendu lâche	متوتر مسترخ
tense vowel	voyelle tendue	مصوت متوتر
term	terme	-مفردة -مصطلح (في اللسانيات الرياضية:ألفاظ أو أوضاع أو عبارات)
terminal contour	contour final (intonation)	منحنى تنغيم الأواخر
terminal juncture	jointure finale ; joncture finale	وصل الآخر
terminal stress	accent de fin de mot ; accent dans un oxyton	تطويح الآخر
terminal staring	suite terminale	-سلسلة أخيرة -سلسلة نهائية (في النحو التحويلي)
terminology	terminologie	-المصطلحية -علم المصطلحات
teritary stress	accent teritaire	نبرة ثالثة (تلي النبرة الثانوية)
tessitura (music)	étendue du pitch ; tessiture	سلم أنغام
thematic inflexion	inflexion(flexion) thématique	تصريف المبنى
thrmatic morpheme	morphéme thématique	زوائد على المبنى
theme	théme	1-المبنى (الجذر مع بعض الزوائد أو الصيغة) 2-المسند إليه المسند والمسند إليه
theoretical linguistics	linguistique théorique	اللسانيات النظرية
theory of meaning	théorie du sens	نظرية المعنى
theraapeutic change	changement thérapeutique	تحول ترميمي
thesaurus	thesaurus ;trésor (de langue)	ذخيرة لغوية  (مكنز)
thrid person	troisieme	غائب (شخص ثالث)
third person imperative	-subjonctif -mode impératif à la troisième personne	-صيغة أمرية -أمر الغائب
threshold of hearing	seuil auditif	حد السمع الأعلى
threshold of pain	seuil de la peine de l’audition	حد الألم
		علامة مميزة (في الكتابة)
tilde	tilde	جرس
timeless	temporal	خارج عن الزمن
tmesis	tmése	فصل (كلمة مركبة)
tonality features	traits de tonalité	صفات تنغيمية
tone	ton	نغمة
tone colour	timbre	جرس
tone language	langue à tons	لغة نغمية
toneme	tonéme	وحدة نغمية
tone of voice	ton de la voix	نغمة الصوت (المميزة للفرد)
tonetics	étude des tons	دراسة التنغيم اللغوي (نظام دراسة التنغيم في الكلام)
tongue	1-langue (organe) 2-langue	1-لسان (عضو النطق) 2-لغة
tongue height	évatation de la langue (organe)	ارتفاع اللسان
tonic	tonique	نغمي
tonic accent	accent tonique	تطويح نغمي
tonic syllabe	syllabe tonique	مقطع منبور
topic	topique	-موضوع  -المحدث عنه
topicalization	topicalisation	-التحديث(جعل الشيء محدث عنه) -الابتداء(في النحو العربي)
topology	topologie	دراسة مواقع الكلام
